Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=128, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)
setCwFrequency(): ftarget=1, fcw=122, abs(delta)=121, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=7601, fcw=7568, abs(delta)=33, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7602, fcw=7568, abs(delta)=34, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7603, fcw=7568, abs(delta)=35, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7604, fcw=7568, abs(delta)=36, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7605, fcw=7568, abs(delta)=37, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7606, fcw=7568, abs(delta)=38, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7607, fcw=7568, abs(delta)=39, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7608, fcw=7568, abs(delta)=40, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7609, fcw=7568, abs(delta)=41, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7610, fcw=7568, abs(delta)=42, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7611, fcw=7568, abs(delta)=43, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7612, fcw=7568, abs(delta)=44, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7613, fcw=7568, abs(delta)=45, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7614, fcw=7568, abs(delta)=46, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7615, fcw=7568, abs(delta)=47, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7616, fcw=7568, abs(delta)=48, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7617, fcw=7568, abs(delta)=49, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7618, fcw=7568, abs(delta)=50, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7619, fcw=7568, abs(delta)=51, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7620, fcw=7568, abs(delta)=52, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7621, fcw=7568, abs(delta)=53, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7622, fcw=7568, abs(delta)=54, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7623, fcw=7568, abs(delta)=55, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7624, fcw=7568, abs(delta)=56, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7625, fcw=7568, abs(delta)=57, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7626, fcw=7568, abs(delta)=58, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7627, fcw=7568, abs(delta)=59, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7628, fcw=7568, abs(delta)=60, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7629, fcw=7568, abs(delta)=61, clk8mDiv=0, frequencyStep=62, stepSize=122.070312
setCwFrequency(): ftarget=7630, fcw=7690, abs(delta)=60, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7631, fcw=7690, abs(delta)=59, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7632, fcw=7690, abs(delta)=58, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7633, fcw=7690, abs(delta)=57, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7634, fcw=7690, abs(delta)=56, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7635, fcw=7690, abs(delta)=55, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7636, fcw=7690, abs(delta)=54, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7637, fcw=7690, abs(delta)=53, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7638, fcw=7690, abs(delta)=52, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7639, fcw=7690, abs(delta)=51, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7640, fcw=7690, abs(delta)=50, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7641, fcw=7690, abs(delta)=49, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7642, fcw=7690, abs(delta)=48, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7643, fcw=7690, abs(delta)=47, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7644, fcw=7690, abs(delta)=46, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7645, fcw=7690, abs(delta)=45, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7646, fcw=7690, abs(delta)=44, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7647, fcw=7690, abs(delta)=43, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7648, fcw=7690, abs(delta)=42, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7649, fcw=7690, abs(delta)=41, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7650, fcw=7690, abs(delta)=40, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7651, fcw=7690, abs(delta)=39, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7652, fcw=7690, abs(delta)=38, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7653, fcw=7690, abs(delta)=37, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7654, fcw=7690, abs(delta)=36, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7655, fcw=7690, abs(delta)=35, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7656, fcw=7690, abs(delta)=34, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7657, fcw=7690, abs(delta)=33, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7658, fcw=7690, abs(delta)=32, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7659, fcw=7690, abs(delta)=31, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7660, fcw=7690, abs(delta)=30, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7661, fcw=7690, abs(delta)=29, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7662, fcw=7690, abs(delta)=28, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7663, fcw=7690, abs(delta)=27, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7664, fcw=7690, abs(delta)=26, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7665, fcw=7690, abs(delta)=25, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7666, fcw=7690, abs(delta)=24, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7667, fcw=7690, abs(delta)=23, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7668, fcw=7690, abs(delta)=22, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7669, fcw=7690, abs(delta)=21, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7670, fcw=7690, abs(delta)=20, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7671, fcw=7690, abs(delta)=19, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7672, fcw=7690, abs(delta)=18, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7673, fcw=7690, abs(delta)=17, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7674, fcw=7690, abs(delta)=16, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7675, fcw=7690, abs(delta)=15, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7676, fcw=7690, abs(delta)=14, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7677, fcw=7690, abs(delta)=13, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7678, fcw=7690, abs(delta)=12, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7679, fcw=7690, abs(delta)=11, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7680, fcw=7690, abs(delta)=10, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7681, fcw=7690, abs(delta)=9, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7682, fcw=7690, abs(delta)=8, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7683, fcw=7690, abs(delta)=7, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7684, fcw=7690, abs(delta)=6, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7685, fcw=7690, abs(delta)=5, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7686, fcw=7690, abs(delta)=4, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7687, fcw=7690, abs(delta)=3, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7688, fcw=7690, abs(delta)=2, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7689, fcw=7690, abs(delta)=1, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7690, fcw=7690, abs(delta)=0, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7691, fcw=7690, abs(delta)=1, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7692, fcw=7690, abs(delta)=2, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7693, fcw=7690, abs(delta)=3, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7694, fcw=7690, abs(delta)=4, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7695, fcw=7690, abs(delta)=5, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7696, fcw=7690, abs(delta)=6, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7697, fcw=7690, abs(delta)=7, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7698, fcw=7690, abs(delta)=8, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7699, fcw=7690, abs(delta)=9, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7700, fcw=7690, abs(delta)=10, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7701, fcw=7690, abs(delta)=11, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7702, fcw=7690, abs(delta)=12, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7703, fcw=7690, abs(delta)=13, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7704, fcw=7690, abs(delta)=14, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7705, fcw=7690, abs(delta)=15, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7706, fcw=7690, abs(delta)=16, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7707, fcw=7690, abs(delta)=17, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7708, fcw=7690, abs(delta)=18, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7709, fcw=7690, abs(delta)=19, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7710, fcw=7690, abs(delta)=20, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7711, fcw=7690, abs(delta)=21, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7712, fcw=7690, abs(delta)=22, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7713, fcw=7690, abs(delta)=23, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7714, fcw=7690, abs(delta)=24, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7715, fcw=7690, abs(delta)=25, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7716, fcw=7690, abs(delta)=26, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7717, fcw=7690, abs(delta)=27, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7718, fcw=7690, abs(delta)=28, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7719, fcw=7690, abs(delta)=29, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7720, fcw=7690, abs(delta)=30, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7721, fcw=7690, abs(delta)=31, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7722, fcw=7690, abs(delta)=32, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7723, fcw=7690, abs(delta)=33, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7724, fcw=7690, abs(delta)=34, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7725, fcw=7690, abs(delta)=35, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7726, fcw=7690, abs(delta)=36, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7727, fcw=7690, abs(delta)=37, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7728, fcw=7690, abs(delta)=38, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7729, fcw=7690, abs(delta)=39, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7730, fcw=7690, abs(delta)=40, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7731, fcw=7690, abs(delta)=41, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7732, fcw=7690, abs(delta)=42, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7733, fcw=7690, abs(delta)=43, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7734, fcw=7690, abs(delta)=44, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7735, fcw=7690, abs(delta)=45, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7736, fcw=7690, abs(delta)=46, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7737, fcw=7690, abs(delta)=47, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7738, fcw=7690, abs(delta)=48, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7739, fcw=7690, abs(delta)=49, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7740, fcw=7690, abs(delta)=50, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7741, fcw=7690, abs(delta)=51, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7742, fcw=7690, abs(delta)=52, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7743, fcw=7690, abs(delta)=53, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7744, fcw=7690, abs(delta)=54, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7745, fcw=7690, abs(delta)=55, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7746, fcw=7690, abs(delta)=56, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7747, fcw=7690, abs(delta)=57, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7748, fcw=7690, abs(delta)=58, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7749, fcw=7690, abs(delta)=59, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7750, fcw=7690, abs(delta)=60, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7751, fcw=7690, abs(delta)=61, clk8mDiv=0, frequencyStep=63, stepSize=122.070312
setCwFrequency(): ftarget=7752, fcw=7812, abs(delta)=60, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7753, fcw=7812, abs(delta)=59, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7754, fcw=7812, abs(delta)=58, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7755, fcw=7812, abs(delta)=57, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7756, fcw=7812, abs(delta)=56, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7757, fcw=7812, abs(delta)=55, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7758, fcw=7812, abs(delta)=54, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7759, fcw=7812, abs(delta)=53, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7760, fcw=7812, abs(delta)=52, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7761, fcw=7812, abs(delta)=51, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7762, fcw=7812, abs(delta)=50, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7763, fcw=7812, abs(delta)=49, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7764, fcw=7812, abs(delta)=48, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7765, fcw=7812, abs(delta)=47, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7766, fcw=7812, abs(delta)=46, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7767, fcw=7812, abs(delta)=45, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7768, fcw=7812, abs(delta)=44, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7769, fcw=7812, abs(delta)=43, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7770, fcw=7812, abs(delta)=42, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7771, fcw=7812, abs(delta)=41, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7772, fcw=7812, abs(delta)=40, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7773, fcw=7812, abs(delta)=39, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7774, fcw=7812, abs(delta)=38, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7775, fcw=7812, abs(delta)=37, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7776, fcw=7812, abs(delta)=36, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7777, fcw=7812, abs(delta)=35, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7778, fcw=7812, abs(delta)=34, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7779, fcw=7812, abs(delta)=33, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7780, fcw=7812, abs(delta)=32, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7781, fcw=7812, abs(delta)=31, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7782, fcw=7812, abs(delta)=30, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7783, fcw=7812, abs(delta)=29, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7784, fcw=7812, abs(delta)=28, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7785, fcw=7812, abs(delta)=27, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7786, fcw=7812, abs(delta)=26, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7787, fcw=7812, abs(delta)=25, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7788, fcw=7812, abs(delta)=24, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7789, fcw=7812, abs(delta)=23, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7790, fcw=7812, abs(delta)=22, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7791, fcw=7812, abs(delta)=21, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7792, fcw=7812, abs(delta)=20, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7793, fcw=7812, abs(delta)=19, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7794, fcw=7812, abs(delta)=18, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7795, fcw=7812, abs(delta)=17, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7796, fcw=7812, abs(delta)=16, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7797, fcw=7812, abs(delta)=15, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7798, fcw=7812, abs(delta)=14, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7799, fcw=7812, abs(delta)=13, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7800, fcw=7812, abs(delta)=12, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7801, fcw=7812, abs(delta)=11, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7802, fcw=7812, abs(delta)=10, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7803, fcw=7812, abs(delta)=9, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7804, fcw=7812, abs(delta)=8, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7805, fcw=7812, abs(delta)=7, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7806, fcw=7812, abs(delta)=6, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7807, fcw=7812, abs(delta)=5, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7808, fcw=7812, abs(delta)=4, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7809, fcw=7812, abs(delta)=3, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7810, fcw=7812, abs(delta)=2, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7811, fcw=7812, abs(delta)=1, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7812, fcw=7812, abs(delta)=0, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7813, fcw=7812, abs(delta)=1, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7814, fcw=7812, abs(delta)=2, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7815, fcw=7812, abs(delta)=3, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7816, fcw=7812, abs(delta)=4, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7817, fcw=7812, abs(delta)=5, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7818, fcw=7812, abs(delta)=6, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7819, fcw=7812, abs(delta)=7, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7820, fcw=7812, abs(delta)=8, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7821, fcw=7812, abs(delta)=9, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7822, fcw=7812, abs(delta)=10, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
setCwFrequency(): ftarget=7823, fcw=7812, abs(delta)=11, clk8mDiv=0, frequencyStep=64, stepSize=122.070312
