Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=256, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)

setCwFrequency(): ftarget=71, fcw=122, abs(delta)=51, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=72, fcw=122, abs(delta)=50, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=73, fcw=122, abs(delta)=49, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=74, fcw=122, abs(delta)=48, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=75, fcw=122, abs(delta)=47, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=76, fcw=122, abs(delta)=46, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=77, fcw=122, abs(delta)=45, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=78, fcw=122, abs(delta)=44, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=79, fcw=122, abs(delta)=43, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=80, fcw=122, abs(delta)=42, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=81, fcw=122, abs(delta)=41, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=82, fcw=122, abs(delta)=40, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=83, fcw=122, abs(delta)=39, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=84, fcw=122, abs(delta)=38, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=85, fcw=122, abs(delta)=37, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=86, fcw=122, abs(delta)=36, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=87, fcw=122, abs(delta)=35, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=88, fcw=122, abs(delta)=34, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=89, fcw=122, abs(delta)=33, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=90, fcw=122, abs(delta)=32, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=91, fcw=122, abs(delta)=31, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=92, fcw=122, abs(delta)=30, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
